Feature Name,Overlap Count,Expected Count,p-value
Tang.N2.TAP__Tang.parn1.TAP,0,0.6494,0.5200231479449895
Tang.N2__Tang.prg1,1,1.5000,0.555247313637995
Tang.N2.r2__Tang.parn1.r2,0,0.5446,0.5782120603292327
Lee.N2.051611__Lee.glh4.051611,0,0.4938,0.6086964773989996
Conine.N2.fog2.20C.male__Conine.alg34.20C.male,0,0.4222,0.6543106270179022
Lee.N2_for_damt1.052517__Lee.damt1.052517,0,0.4066,0.6646615032636962
Tang.N2__Tang.parn1,0,0.3631,0.6945055435419746
Lee.N2.L4.080816__Lee.BA23.080816,0,0.2956,0.7433006254301953
Lee.N2_for_glh.052517__Lee.FGglh1.052517,0,0.2645,0.7669401509457785
Lee.46_27__Lee.2_4,0,0.2344,0.790491653800651
WAGO9IP.gfp_cdk1__WAGO9Input.gfp_cdk1,1,0.7915,0.812484973646601
Tang.N2__Tang.prg1.parn1,2,1.4844,0.8147526627064503
Lee.N2_for_glh.052517__Lee.EAglh1.052517,1,0.7562,0.8251397257519624
Lee.N2.r2__Lee.glh4.r2,1,0.7334,0.8332474813570926
Lee.N2.r1__Lee.glh4.r1,1,0.7303,0.834347689566137
Lee.N2.L4.080816__Lee.fer2.r1.080816,0,0.1608,0.8511861329609506
Lee.flagprg1.r2__Lee.flagprg1da.r2,1,0.5643,0.89056368073578
Lee.N2.L4.080816__Lee.BA6.080816,2,1.1131,0.8998781176389596
Lee.N2.r2__Lee.21ur1349.del.tm6101.r2,0,0.1027,0.9022595991707107
Lee.N2.r2__Lee.21ur1349.del.tm6108.r2,0,0.1027,0.9022595991707107
WAGO1IP__WAGO1Input,3,1.7490,0.9028753341958047
Lee.N2.r1__Lee.21ur1349.del.tm6101.r1,0,0.1006,0.904138155084502
Lee.N2.r1__Lee.21ur1349.del.tm6108.r1,0,0.0975,0.9069631808750075
Lee.flagprg1.r1__Lee.flagprg1da.r1,1,0.4938,0.9125065782530254
Lee.N2__Lee.cdkgfp,0,0.0871,0.9164425758300221
Lee.L4440.052517__Lee.SNPC4.052517,0,0.0830,0.9202614713967587
Lee.N2__Lee.46_23,0,0.0820,0.9212186304097136
Lee.N2__Lee.46_27,0,0.0809,0.9221767654183992
Lee.L4440.052517__Lee.NPP7.052517,0,0.0778,0.9250570361764053
WAGO9IP.oma1_gfp__WAGO9Input.oma1_gfp,2,0.9699,0.9270209791632171
Tang.PRG1IP.parn1__Tang.Input.parn1,0,0.0716,0.930844061540971
WAGO9IP.cdk1_gfp__WAGO9Input.cdk1_gfp,2,0.9180,0.93589756315359
Lee.N2.L4.080816__Lee.fer2.r2.080816,2,0.9149,0.9364130221544652
Lee.N2_for_glh.052517__Lee.glh1.052517,2,0.9056,0.9379475694900705
Lee.N2.adult.080816__Lee.glh1.glh4.adult.080816,1,0.4004,0.9390591648507282
Tang.PRG1IP.N2__Tang.Input.N2,0,0.0467,0.9543491877963691
Conine.N2.fog2.25C.male__Conine.alg34.25C.male,2,0.7687,0.9583475678997965
Tang.parn1__Tang.prg1.parn1,4,1.5311,0.9818190160490972
DA1316__csr1.DA1316,5,2.0290,0.9846356422267891
Lee.N2.051611__Lee.glh1.050611,3,0.8983,0.9875844399983331
Lee.SRA.N2__Lee.SRA.prg1Mut.N2,7,2.8195,0.9934464679850022
Shir.WAGO9IP__Shir.Input.WAGO9IP,3,0.5820,0.9972572905580426
Gu.wt.r1__Gu.mago12,8,2.5902,0.9990274447174988
Lee.N2.051611__Lee.prg1.sx922,8,2.5207,0.9991977363505099
Lee.N2_for_glh.052517__Lee.glh1.glh4.052517,6,1.0923,0.9998967789964613
Gu.wt.r1__Gu.drh3.r1,14,3.6805,0.9999980872874173
Lee.46_23__Lee.5_3,12,2.0207,0.9999999336395605
Gu.wt.r2__Gu.drh3.r2,17,3.7365,0.9999999905796613
CSR1IP.oma1_gfp__CSR1Input.oma1_gfp,15,2.8257,0.999999991531631
CSR1IP.cdk1_gfp__CSR1Input.cdk1_gfp,15,2.6971,0.9999999956257722
DA1316__ego1,22,5.0923,0.9999999998892949
DA1316__Gu.ekl1,23,5.5550,0.9999999999118397
CSR1IP.gfp_cdk1__CSR1Input.gfp_cdk1,21,3.8008,0.9999999999972806
WT__glp4,27,6.1110,0.999999999999823
CSR1IP.N2__N2,25,5.0581,0.9999999999998442
