Feature Name,Overlap Count,Expected Count,p-value
CSR1IP.N2__N2,25,5.0581,1.4343460061855772e-12
WT__glp4,27,6.1110,1.53797403334979e-12
CSR1IP.gfp_cdk1__CSR1Input.gfp_cdk1,21,3.8008,2.5117741783694494e-11
DA1316__Gu.ekl1,23,5.5550,6.279379229278201e-10
DA1316__ego1,22,5.0923,8.039744121811543e-10
CSR1IP.cdk1_gfp__CSR1Input.cdk1_gfp,15,2.6971,3.540772161873059e-08
Gu.wt.r2__Gu.drh3.r2,17,3.7365,6.4202234603746e-08
CSR1IP.oma1_gfp__CSR1Input.oma1_gfp,15,2.8257,6.527932596543382e-08
Lee.46_23__Lee.5_3,12,2.0207,5.460574100124431e-07
Gu.wt.r1__Gu.drh3.r1,14,3.6805,1.0199195680027764e-05
Lee.N2_for_glh.052517__Lee.glh1.glh4.052517,6,1.0923,0.0007536358144166614
Lee.N2.051611__Lee.prg1.sx922,8,2.5207,0.003354380991600091
Gu.wt.r1__Gu.mago12,8,2.5902,0.003956077117412273
Shir.WAGO9IP__Shir.Input.WAGO9IP,3,0.5820,0.020531719359982176
Lee.SRA.N2__Lee.SRA.prg1Mut.N2,7,2.8195,0.021486281347851664
DA1316__csr1.DA1316,5,2.0290,0.051502709753690055
Lee.N2.051611__Lee.glh1.050611,3,0.8983,0.06087121984160866
Tang.parn1__Tang.prg1.parn1,4,1.5311,0.06659644651819578
Conine.N2.fog2.25C.male__Conine.alg34.25C.male,2,0.7687,0.1793103554529622
Lee.N2_for_glh.052517__Lee.glh1.052517,2,0.9056,0.22922460270823006
Lee.N2.L4.080816__Lee.fer2.r2.080816,2,0.9149,0.23267364803522422
WAGO9IP.cdk1_gfp__WAGO9Input.cdk1_gfp,2,0.9180,0.23382416938711434
WAGO9IP.oma1_gfp__WAGO9Input.oma1_gfp,2,0.9699,0.2530480407075242
WAGO1IP__WAGO1Input,3,1.7490,0.2545077114115722
Lee.N2.L4.080816__Lee.BA6.080816,2,1.1131,0.30621647431507704
Lee.N2.adult.080816__Lee.glh1.glh4.adult.080816,1,0.4004,0.331153346027914
Lee.flagprg1.r1__Lee.flagprg1da.r1,1,0.4938,0.3913035226010005
Lee.flagprg1.r2__Lee.flagprg1da.r2,1,0.5643,0.43320127403442565
Tang.N2__Tang.prg1.parn1,2,1.4844,0.43943780640509267
Lee.N2.r1__Lee.glh4.r1,1,0.7303,0.5209482215065504
Lee.N2.r2__Lee.glh4.r2,1,0.7334,0.5224591443685728
Lee.N2_for_glh.052517__Lee.EAglh1.052517,1,0.7562,0.5333973910697406
WAGO9IP.gfp_cdk1__WAGO9Input.gfp_cdk1,1,0.7915,0.5498205335443395
Tang.N2__Tang.prg1,1,1.5000,0.7820059552729016
Tang.PRG1IP.parn1__Tang.Input.parn1,0,0.0716,1.0
Tang.N2.TAP__Tang.parn1.TAP,0,0.6494,1.0
Tang.N2__Tang.parn1,0,0.3631,1.0
Lee.N2_for_glh.052517__Lee.FGglh1.052517,0,0.2645,1.0
Lee.L4440.052517__Lee.NPP7.052517,0,0.0778,1.0
Lee.L4440.052517__Lee.SNPC4.052517,0,0.0830,1.0
Lee.N2_for_damt1.052517__Lee.damt1.052517,0,0.4066,1.0
Tang.PRG1IP.N2__Tang.Input.N2,0,0.0467,1.0
Tang.N2.r2__Tang.parn1.r2,0,0.5446,1.0
Lee.46_27__Lee.2_4,0,0.2344,1.0
Lee.N2.r1__Lee.21ur1349.del.tm6101.r1,0,0.1006,1.0
Lee.N2__Lee.cdkgfp,0,0.0871,1.0
Lee.N2__Lee.46_27,0,0.0809,1.0
Lee.N2__Lee.46_23,0,0.0820,1.0
Lee.N2.051611__Lee.glh4.051611,0,0.4938,1.0
Lee.N2.r2__Lee.21ur1349.del.tm6101.r2,0,0.1027,1.0
Lee.N2.r1__Lee.21ur1349.del.tm6108.r1,0,0.0975,1.0
Lee.N2.r2__Lee.21ur1349.del.tm6108.r2,0,0.1027,1.0
Conine.N2.fog2.20C.male__Conine.alg34.20C.male,0,0.4222,1.0
Lee.N2.L4.080816__Lee.fer2.r1.080816,0,0.1608,1.0
Lee.N2.L4.080816__Lee.BA23.080816,0,0.2956,1.0
