Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
GO:0005634,0/120 (0.0%),6/120 (5.0%),0.0,0.0010859410179863234,0.46369681468016005,0.46369681468016005,0.0,2.964193762462368,0.3337658874373442
GO:0005576,0/120 (0.0%),1/120 (0.8%),0.0,0.32401503149137484,1.0,1.0,0.0,0.4894348418232242,-0.0
GO:0005615,0/120 (0.0%),0/120 (0.0%),0.0,0.5010099487105828,1.0,1.0,0.0,0.30015365012634826,-0.0
GO:1990904,0/120 (0.0%),0/120 (0.0%),0.0,0.5623311752659323,1.0,1.0,0.0,0.25000783882626143,-0.0
GO:0005694,0/120 (0.0%),0/120 (0.0%),0.0,0.5791454096354769,1.0,1.0,0.0,0.2372123815681897,-0.0
GO:0005730,0/120 (0.0%),0/120 (0.0%),0.0,0.6373106432721525,1.0,1.0,0.0,0.19564882861605754,-0.0
GO:0005840,0/120 (0.0%),0/120 (0.0%),0.0,0.6451748589064557,1.0,1.0,0.0,0.19032256448662635,-0.0
GO:0043025,0/120 (0.0%),0/120 (0.0%),0.0,0.6726399579773233,1.0,1.0,0.0,0.17221733712009166,-0.0
GO:0000785,0/120 (0.0%),0/120 (0.0%),0.0,0.709910539908218,1.0,1.0,0.0,0.14879637588951228,-0.0
GO:0005654,0/120 (0.0%),0/120 (0.0%),0.0,0.7364892780190482,1.0,1.0,0.0,0.1328335713346666,-0.0
GO:0043186,0/120 (0.0%),0/120 (0.0%),0.0,0.7849169593561747,1.0,1.0,0.0,0.10517628720510196,-0.0
GO:0055120,0/120 (0.0%),0/120 (0.0%),0.0,0.7907041052345064,1.0,1.0,0.0,0.10198600639528349,-0.0
GO:0009986,0/120 (0.0%),0/120 (0.0%),0.0,0.800443522213072,1.0,1.0,0.0,0.09666930566412806,-0.0
GO:0005813,0/120 (0.0%),0/120 (0.0%),0.0,0.8043725153876793,1.0,1.0,0.0,0.09454277723416385,-0.0
GO:0005759,0/120 (0.0%),0/120 (0.0%),0.0,0.810301891564553,1.0,1.0,0.0,0.09135314727690655,-0.0
GO:0005681,0/120 (0.0%),0/120 (0.0%),0.0,0.8222909813134717,1.0,1.0,0.0,0.08497447295046129,-0.0
GO:0000786,0/120 (0.0%),0/120 (0.0%),0.0,0.8344559597082327,1.0,1.0,0.0,0.07859657924885424,-0.0
GO:0000776,0/120 (0.0%),0/120 (0.0%),0.0,0.8572237580361675,1.0,1.0,0.0,0.06690580095145822,-0.0
GO:0005635,0/120 (0.0%),0/120 (0.0%),0.0,0.8572237580361675,1.0,1.0,0.0,0.06690580095145822,-0.0
