Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
GO:0016020,100/120 (83.3%),15/120 (12.5%),6.329368144600649,8.496982863061925e-68,3.628211682527442e-65,3.628211682527442e-65,2.662061483832045,67.07073525764257,64.44030738261753
GO:0005886,25/120 (20.8%),4/120 (3.3%),6.185084541062802,2.474346439814381e-13,5.2827296490037036e-11,1.0565459298007407e-10,2.6287933148683384,12.60653949372619,10.277141614365148
GO:0016323,4/120 (3.3%),0/120 (0.0%),30.348148148148148,9.712367074212548e-06,0.001382393580229586,0.004147180740688758,4.92353658042947,5.0126749120088965,2.8593682917035355
GO:0005929,6/120 (5.0%),0/120 (0.0%),10.974107142857145,1.9822833802175258e-05,0.0021160875083822087,0.008464350033528835,3.456031661256491,4.702834260210242,2.674466376513181
GO:0042995,7/120 (5.8%),0/120 (0.0%),7.857260273972602,3.4026905620481366e-05,0.0029058977399891084,0.014529488699945543,2.9740263508831632,4.468177543500527,2.5367196728115218
GO:0005743,5/120 (4.2%),0/120 (0.0%),10.78157894736842,0.00010875510840445865,0.007739738548117307,0.04643843128870385,3.430496569149353,3.9635503343755096,2.1112737097341294
GO:0031090,2/120 (1.7%),0/120 (0.0%),74.4909090909091,0.00032029525858178707,0.01953801077348901,0.13676607541442307,6.218992463955642,3.4944494902684524,1.7091196552576855
GO:0005794,5/120 (4.2%),0/120 (0.0%),6.9440677966101685,0.0008164505083580796,0.0435780458836125,0.3486243670689,2.7957810332310973,3.0880701362162704,1.3607322481831903
GO:0000139,4/120 (3.3%),0/120 (0.0%),8.9551912568306,0.0010901213160777062,0.04749381226525999,0.4654818019651806,3.162724244308896,2.962525168140727,1.3233629687773005
GO:0043005,4/120 (3.3%),0/120 (0.0%),8.906521739130435,0.0011122672661653395,0.04749381226525999,0.47493812265259994,3.154862126535926,2.9537908438023246,1.3233629687773005
GO:0005789,5/120 (4.2%),0/120 (0.0%),6.042772861356932,0.0015099230452438833,0.058612467301739836,0.6447371403191382,2.595210714343957,2.8210451864005996,1.232009996533801
GO:1902495,2/120 (1.7%),0/120 (0.0%),28.255172413793105,0.002297395173617021,0.08174897826120567,0.980987739134468,4.8204430874653665,2.638764295636431,1.087517666659032
GO:0060170,3/120 (2.5%),0/120 (0.0%),9.99268292682927,0.003467934267432275,0.11390830247642934,1.0,3.320872077974855,2.4599291429034373,0.94344462018525
GO:0045271,2/120 (1.7%),0/120 (0.0%),19.05581395348837,0.004997138106386307,0.14574594679929725,1.0,4.2521593278908405,2.3012786477531986,0.836403514148199
