Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
GO:0008270,0/120 (0.0%),2/120 (1.7%),0.0,0.07492319196554273,0.9999972961013539,1.0,0.0,1.1253837285806787,1.174289849205715e-06
GO:0003677,0/120 (0.0%),2/120 (1.7%),0.0,0.10056072344372717,0.9999972961013539,1.0,0.0,0.9975716109536765,1.174289849205715e-06
GO:0003723,0/120 (0.0%),1/120 (0.8%),0.0,0.3023843378057813,0.9999972961013539,1.0,0.0,0.5194407071545539,1.174289849205715e-06
GO:0003700,0/120 (0.0%),1/120 (0.8%),0.0,0.3429256067828897,0.9999972961013539,1.0,0.0,0.4648000842367876,1.174289849205715e-06
GO:0043565,0/120 (0.0%),0/120 (0.0%),0.0,0.3793893965956171,0.9999972961013539,1.0,0.0,0.4209148112026645,1.174289849205715e-06
GO:0003676,0/120 (0.0%),0/120 (0.0%),0.0,0.4397855966254397,0.9999972961013539,1.0,0.0,0.35675899827792207,1.174289849205715e-06
GO:0000978,0/120 (0.0%),0/120 (0.0%),0.0,0.47814644981959975,0.9999972961013539,1.0,0.0,0.32043906446055515,1.174289849205715e-06
GO:0000981,0/120 (0.0%),0/120 (0.0%),0.0,0.4924631002062355,0.9999972961013539,1.0,0.0,0.30762630522156426,1.174289849205715e-06
GO:0005525,0/120 (0.0%),0/120 (0.0%),0.0,0.5848602059074903,0.9999972961013539,1.0,0.0,0.2329479271795478,1.174289849205715e-06
GO:0003824,0/120 (0.0%),0/120 (0.0%),0.0,0.5877385391377237,0.9999972961013539,1.0,0.0,0.23081583083385845,1.174289849205715e-06
GO:0020037,0/120 (0.0%),0/120 (0.0%),0.0,0.6792690115981889,0.9999972961013539,1.0,0.0,0.16795819756720834,1.174289849205715e-06
GO:0003729,0/120 (0.0%),0/120 (0.0%),0.0,0.6842832803976715,0.9999972961013539,1.0,0.0,0.16476407131413717,1.174289849205715e-06
