Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
GO:0006355,0/120 (0.0%),1/120 (0.8%),0.0,0.26528648947062616,0.9999967369626577,1.0,0.0,0.5762848672350231,1.4171214240781989e-06
GO:0006357,0/120 (0.0%),1/120 (0.8%),0.0,0.2856923998130966,0.9999967369626577,1.0,0.0,0.5441013128658997,1.4171214240781989e-06
GO:0045087,0/120 (0.0%),0/120 (0.0%),0.0,0.4596977255301714,0.9999967369626577,1.0,0.0,0.33752764502528204,1.4171214240781989e-06
GO:0045944,0/120 (0.0%),0/120 (0.0%),0.0,0.5513915555477091,0.9999967369626577,1.0,0.0,0.25853988931315236,1.4171214240781989e-06
GO:0006412,0/120 (0.0%),0/120 (0.0%),0.0,0.5891829690692492,0.9999967369626577,1.0,0.0,0.22974981537004913,1.4171214240781989e-06
GO:0051301,0/120 (0.0%),0/120 (0.0%),0.0,0.6611931277526535,0.9999967369626577,1.0,0.0,0.17967166900653572,1.4171214240781989e-06
GO:0007165,1/120 (0.8%),1/120 (0.8%),0.8717021276595746,0.6814786806989929,0.9999967369626577,1.0,-0.19809286397206088,0.1665477260356325,1.4171214240781989e-06
GO:0006397,0/120 (0.0%),0/120 (0.0%),0.0,0.6876465009251901,0.9999967369626577,1.0,0.0,0.16263476256618273,1.4171214240781989e-06
GO:0016567,0/120 (0.0%),0/120 (0.0%),0.0,0.6978348296523367,0.9999967369626577,1.0,0.0,0.1562473582637679,1.4171214240781989e-06
GO:0006281,0/120 (0.0%),0/120 (0.0%),0.0,0.7133986457346747,0.9999967369626577,1.0,0.0,0.1466677194306842,1.4171214240781989e-06
GO:0006974,0/120 (0.0%),0/120 (0.0%),0.0,0.7169037466570491,0.9999967369626577,1.0,0.0,0.14453914991354527,1.4171214240781989e-06
GO:0010468,0/120 (0.0%),0/120 (0.0%),0.0,0.7239652626068105,0.9999967369626577,1.0,0.0,0.14028227167592974,1.4171214240781989e-06
GO:0000122,0/120 (0.0%),0/120 (0.0%),0.0,0.7364892780190482,0.9999967369626577,1.0,0.0,0.1328335713346666,1.4171214240781989e-06
GO:0050829,0/120 (0.0%),0/120 (0.0%),0.0,0.7419222624932802,0.9999967369626577,1.0,0.0,0.12964159706444406,1.4171214240781989e-06
GO:0006338,0/120 (0.0%),0/120 (0.0%),0.0,0.7437420746777168,0.9999967369626577,1.0,0.0,0.1285776490846692,1.4171214240781989e-06
GO:0006631,0/120 (0.0%),0/120 (0.0%),0.0,0.7529077456402657,0.9999967369626577,1.0,0.0,0.12325823497313158,1.4171214240781989e-06
GO:0036498,0/120 (0.0%),0/120 (0.0%),0.0,0.7547542769300293,0.9999967369626577,1.0,0.0,0.12219441730208434,1.4171214240781989e-06
GO:0006511,0/120 (0.0%),0/120 (0.0%),0.0,0.7547542769300293,0.9999967369626577,1.0,0.0,0.12219441730208434,1.4171214240781989e-06
GO:0006470,0/120 (0.0%),0/120 (0.0%),0.0,0.7603208592367846,0.9999967369626577,1.0,0.0,0.11900309457550544,1.4171214240781989e-06
GO:0008380,0/120 (0.0%),0/120 (0.0%),0.0,0.7696891107849203,0.9999967369626577,1.0,0.0,0.11368465759989926,1.4171214240781989e-06
GO:0000398,0/120 (0.0%),0/120 (0.0%),0.0,0.7791718190674565,0.9999967369626577,1.0,0.0,0.10836676332248703,1.4171214240781989e-06
GO:1902476,0/120 (0.0%),0/120 (0.0%),0.0,0.7829972602810145,0.9999967369626577,1.0,0.0,0.10623975754220862,1.4171214240781989e-06
GO:0006325,0/120 (0.0%),0/120 (0.0%),0.0,0.7849169593561747,0.9999967369626577,1.0,0.0,0.10517628720510196,1.4171214240781989e-06
GO:0010628,0/120 (0.0%),0/120 (0.0%),0.0,0.7868413257011824,0.9999967369626577,1.0,0.0,0.10411283856883588,1.4171214240781989e-06
