WormBase ID,Symbol,GO ID,Reference,Evidence Code,Aspect
WBGene00000001,aap-1,GO:0005942,WB_REF:WBPaper00005614|PMID:12393910,IDA,C
WBGene00000001,aap-1,GO:0005943,GO_REF:0000033,IBA,C
WBGene00000001,aap-1,GO:0008286,GO_REF:0000033,IBA,P
WBGene00000001,aap-1,GO:0008286,WB_REF:WBPaper00005614|PMID:12393910,IGI,P
WBGene00000001,aap-1,GO:0008286,WB_REF:WBPaper00005614|PMID:12393910,IMP,P
WBGene00000001,aap-1,GO:0008340,WB_REF:WBPaper00005614|PMID:12393910,IMP,P
WBGene00000001,aap-1,GO:0016301,GO_REF:0000043,IEA,F
WBGene00000001,aap-1,GO:0019901,WB_REF:WBPaper00005614|PMID:12393910,IPI,F
WBGene00000001,aap-1,GO:0040024,WB_REF:WBPaper00005614|PMID:12393910,IGI,P
WBGene00000001,aap-1,GO:0040024,WB_REF:WBPaper00005614|PMID:12393910,IMP,P
WBGene00000001,aap-1,GO:0046935,GO_REF:0000033,IBA,F
WBGene00000002,aat-1,GO:0003333,GO_REF:0000033,IBA,P
WBGene00000002,aat-1,GO:0003333,WB_REF:WBPaper00006408|PMID:14668347,IDA,P
WBGene00000002,aat-1,GO:0005886,GO_REF:0000044,IEA,C
WBGene00000002,aat-1,GO:0005886,WB_REF:WBPaper00006408|PMID:14668347,IDA,C
WBGene00000002,aat-1,GO:0015179,WB_REF:WBPaper00006408|PMID:14668347,IDA,F
WBGene00000002,aat-1,GO:0016020,GO_REF:0000002,IEA,C
WBGene00000002,aat-1,GO:0016020,GO_REF:0000043,IEA,C
WBGene00000002,aat-1,GO:0022857,GO_REF:0000002,IEA,F
WBGene00000002,aat-1,GO:0055085,GO_REF:0000002,IEA,P
WBGene00000002,aat-1,GO:1902475,GO_REF:0000108,IEA,P
WBGene00000002,aat-1,GO:1990184,WB_REF:WBPaper00006408|PMID:14668347,IPI,C
WBGene00000003,aat-2,GO:0003333,GO_REF:0000033,IBA,P
WBGene00000003,aat-2,GO:0015179,GO_REF:0000033,IBA,F
WBGene00000003,aat-2,GO:0016020,GO_REF:0000002,IEA,C
WBGene00000003,aat-2,GO:0016020,GO_REF:0000043,IEA,C
WBGene00000003,aat-2,GO:0016020,GO_REF:0000044,IEA,C
WBGene00000003,aat-2,GO:0022857,GO_REF:0000002,IEA,F
WBGene00000003,aat-2,GO:0055085,GO_REF:0000002,IEA,P
WBGene00000003,aat-2,GO:1902475,GO_REF:0000108,IEA,P
WBGene00000004,aat-3,GO:0003333,GO_REF:0000033,IBA,P
WBGene00000004,aat-3,GO:0003333,WB_REF:WBPaper00006408|PMID:14668347,IDA,P
WBGene00000004,aat-3,GO:0005886,GO_REF:0000044,IEA,C
WBGene00000004,aat-3,GO:0005886,WB_REF:WBPaper00006408|PMID:14668347,IDA,C
WBGene00000004,aat-3,GO:0015179,WB_REF:WBPaper00006408|PMID:14668347,IDA,F
WBGene00000004,aat-3,GO:0016020,GO_REF:0000002,IEA,C
WBGene00000004,aat-3,GO:0016020,GO_REF:0000043,IEA,C
WBGene00000004,aat-3,GO:0022857,GO_REF:0000002,IEA,F
WBGene00000004,aat-3,GO:0055085,GO_REF:0000002,IEA,P
WBGene00000004,aat-3,GO:1902475,GO_REF:0000108,IEA,P
WBGene00000004,aat-3,GO:1990184,WB_REF:WBPaper00006408|PMID:14668347,IPI,C
WBGene00000005,aat-4,GO:0003333,GO_REF:0000033,IBA,P
WBGene00000005,aat-4,GO:0015179,GO_REF:0000033,IBA,F
WBGene00000005,aat-4,GO:0016020,GO_REF:0000002,IEA,C
WBGene00000005,aat-4,GO:0016020,GO_REF:0000043,IEA,C
WBGene00000005,aat-4,GO:0016020,GO_REF:0000044,IEA,C
WBGene00000005,aat-4,GO:0022857,GO_REF:0000002,IEA,F
WBGene00000005,aat-4,GO:0055085,GO_REF:0000002,IEA,P
WBGene00000005,aat-4,GO:1902475,GO_REF:0000108,IEA,P
WBGene00000006,aat-5,GO:0003333,GO_REF:0000033,IBA,P
WBGene00000006,aat-5,GO:0015179,GO_REF:0000033,IBA,F
WBGene00000006,aat-5,GO:0016020,GO_REF:0000002,IEA,C
WBGene00000006,aat-5,GO:0016020,GO_REF:0000043,IEA,C
WBGene00000006,aat-5,GO:0016020,GO_REF:0000044,IEA,C
WBGene00000006,aat-5,GO:0022857,GO_REF:0000002,IEA,F
WBGene00000006,aat-5,GO:0055085,GO_REF:0000002,IEA,P
WBGene00000006,aat-5,GO:1902475,GO_REF:0000108,IEA,P
WBGene00000007,aat-6,GO:0003333,GO_REF:0000033,IBA,P
WBGene00000007,aat-6,GO:0005515,WB_REF:WBPaper00041455|PMID:22916205,IPI,F
WBGene00000007,aat-6,GO:0005886,GO_REF:0000043,IEA,C
WBGene00000007,aat-6,GO:0006865,GO_REF:0000043,IEA,P
WBGene00000007,aat-6,GO:0015179,GO_REF:0000033,IBA,F
WBGene00000007,aat-6,GO:0015807,WB_REF:WBPaper00055920|PMID:30560135,NAS,P
WBGene00000007,aat-6,GO:0016020,GO_REF:0000002,IEA,C
WBGene00000007,aat-6,GO:0016020,GO_REF:0000043,IEA,C
WBGene00000007,aat-6,GO:0016324,GO_REF:0000044,IEA,C
WBGene00000007,aat-6,GO:0016324,WB_REF:WBPaper00041455|PMID:22916205,IDA,C
WBGene00000007,aat-6,GO:0022857,GO_REF:0000002,IEA,F
WBGene00000007,aat-6,GO:0030165,WB_REF:WBPaper00041455|PMID:22916205,IPI,F
