WormBase ID,Symbol,GO ID,Reference,Evidence Code,Aspect,GO_term
WBGene00000001,aap-1,GO:0005942,WB_REF:WBPaper00005614|PMID:12393910,IDA,C,phosphatidylinositol 3-kinase complex
WBGene00000001,aap-1,GO:0005943,GO_REF:0000033,IBA,C,"phosphatidylinositol 3-kinase complex, class IA"
WBGene00000001,aap-1,GO:0008286,GO_REF:0000033,IBA,P,insulin receptor signaling pathway
WBGene00000001,aap-1,GO:0008286,WB_REF:WBPaper00005614|PMID:12393910,IGI,P,insulin receptor signaling pathway
WBGene00000001,aap-1,GO:0008286,WB_REF:WBPaper00005614|PMID:12393910,IMP,P,insulin receptor signaling pathway
WBGene00000001,aap-1,GO:0008340,WB_REF:WBPaper00005614|PMID:12393910,IMP,P,determination of adult lifespan
WBGene00000001,aap-1,GO:0016301,GO_REF:0000043,IEA,F,kinase activity
WBGene00000001,aap-1,GO:0019901,WB_REF:WBPaper00005614|PMID:12393910,IPI,F,protein kinase binding
WBGene00000001,aap-1,GO:0040024,WB_REF:WBPaper00005614|PMID:12393910,IGI,P,dauer larval development
WBGene00000001,aap-1,GO:0040024,WB_REF:WBPaper00005614|PMID:12393910,IMP,P,dauer larval development
WBGene00000001,aap-1,GO:0046935,GO_REF:0000033,IBA,F,1-phosphatidylinositol-3-kinase regulator activity
WBGene00000002,aat-1,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000002,aat-1,GO:0003333,WB_REF:WBPaper00006408|PMID:14668347,IDA,P,amino acid transmembrane transport
WBGene00000002,aat-1,GO:0005886,GO_REF:0000044,IEA,C,plasma membrane
WBGene00000002,aat-1,GO:0005886,WB_REF:WBPaper00006408|PMID:14668347,IDA,C,plasma membrane
WBGene00000002,aat-1,GO:0015179,WB_REF:WBPaper00006408|PMID:14668347,IDA,F,L-amino acid transmembrane transporter activity
WBGene00000002,aat-1,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000002,aat-1,GO:0016020,GO_REF:0000043,IEA,C,membrane
WBGene00000002,aat-1,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000002,aat-1,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000002,aat-1,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000002,aat-1,GO:1990184,WB_REF:WBPaper00006408|PMID:14668347,IPI,C,amino acid transport complex
WBGene00000003,aat-2,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000003,aat-2,GO:0015179,GO_REF:0000033,IBA,F,L-amino acid transmembrane transporter activity
WBGene00000003,aat-2,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000003,aat-2,GO:0016020,GO_REF:0000043,IEA,C,membrane
WBGene00000003,aat-2,GO:0016020,GO_REF:0000044,IEA,C,membrane
