WormBase ID,Symbol,GO ID,Reference,Evidence Code,Aspect,GO_term
WBGene00000001,aap-1,GO:0005942,WB_REF:WBPaper00005614|PMID:12393910,IDA,C,phosphatidylinositol 3-kinase complex
WBGene00000001,aap-1,GO:0005943,GO_REF:0000033,IBA,C,"phosphatidylinositol 3-kinase complex, class IA"
WBGene00000002,aat-1,GO:0005886,GO_REF:0000044,IEA,C,plasma membrane
WBGene00000002,aat-1,GO:0005886,WB_REF:WBPaper00006408|PMID:14668347,IDA,C,plasma membrane
WBGene00000002,aat-1,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000002,aat-1,GO:0016020,GO_REF:0000043,IEA,C,membrane
WBGene00000002,aat-1,GO:1990184,WB_REF:WBPaper00006408|PMID:14668347,IPI,C,amino acid transport complex
WBGene00000003,aat-2,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000003,aat-2,GO:0016020,GO_REF:0000043,IEA,C,membrane
WBGene00000003,aat-2,GO:0016020,GO_REF:0000044,IEA,C,membrane
WBGene00000004,aat-3,GO:0005886,GO_REF:0000044,IEA,C,plasma membrane
WBGene00000004,aat-3,GO:0005886,WB_REF:WBPaper00006408|PMID:14668347,IDA,C,plasma membrane
WBGene00000004,aat-3,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000004,aat-3,GO:0016020,GO_REF:0000043,IEA,C,membrane
WBGene00000004,aat-3,GO:1990184,WB_REF:WBPaper00006408|PMID:14668347,IPI,C,amino acid transport complex
WBGene00000005,aat-4,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000005,aat-4,GO:0016020,GO_REF:0000043,IEA,C,membrane
WBGene00000005,aat-4,GO:0016020,GO_REF:0000044,IEA,C,membrane
WBGene00000006,aat-5,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000006,aat-5,GO:0016020,GO_REF:0000043,IEA,C,membrane
WBGene00000006,aat-5,GO:0016020,GO_REF:0000044,IEA,C,membrane
WBGene00000007,aat-6,GO:0005886,GO_REF:0000043,IEA,C,plasma membrane
WBGene00000007,aat-6,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000007,aat-6,GO:0016020,GO_REF:0000043,IEA,C,membrane
WBGene00000007,aat-6,GO:0016324,GO_REF:0000044,IEA,C,apical plasma membrane
WBGene00000007,aat-6,GO:0016324,WB_REF:WBPaper00041455|PMID:22916205,IDA,C,apical plasma membrane
WBGene00000007,aat-6,GO:1990184,WB_REF:WBPaper00041455|PMID:22916205,NAS,C,amino acid transport complex
WBGene00000008,aat-7,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000008,aat-7,GO:0016020,GO_REF:0000043,IEA,C,membrane
WBGene00000008,aat-7,GO:0016020,GO_REF:0000044,IEA,C,membrane
WBGene00000009,aat-8,GO:0016020,GO_REF:0000002,IEA,C,membrane
WBGene00000009,aat-8,GO:0016020,GO_REF:0000043,IEA,C,membrane
