WormBase ID,Symbol,GO ID,Reference,Evidence Code,Aspect,GO_term
WBGene00000001,aap-1,GO:0016301,GO_REF:0000043,IEA,F,kinase activity
WBGene00000001,aap-1,GO:0019901,WB_REF:WBPaper00005614|PMID:12393910,IPI,F,protein kinase binding
WBGene00000001,aap-1,GO:0046935,GO_REF:0000033,IBA,F,1-phosphatidylinositol-3-kinase regulator activity
WBGene00000002,aat-1,GO:0015179,WB_REF:WBPaper00006408|PMID:14668347,IDA,F,L-amino acid transmembrane transporter activity
WBGene00000002,aat-1,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000003,aat-2,GO:0015179,GO_REF:0000033,IBA,F,L-amino acid transmembrane transporter activity
WBGene00000003,aat-2,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000004,aat-3,GO:0015179,WB_REF:WBPaper00006408|PMID:14668347,IDA,F,L-amino acid transmembrane transporter activity
WBGene00000004,aat-3,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000005,aat-4,GO:0015179,GO_REF:0000033,IBA,F,L-amino acid transmembrane transporter activity
WBGene00000005,aat-4,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000006,aat-5,GO:0015179,GO_REF:0000033,IBA,F,L-amino acid transmembrane transporter activity
WBGene00000006,aat-5,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000007,aat-6,GO:0005515,WB_REF:WBPaper00041455|PMID:22916205,IPI,F,protein binding
WBGene00000007,aat-6,GO:0015179,GO_REF:0000033,IBA,F,L-amino acid transmembrane transporter activity
WBGene00000007,aat-6,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000007,aat-6,GO:0030165,WB_REF:WBPaper00041455|PMID:22916205,IPI,F,PDZ domain binding
WBGene00000008,aat-7,GO:0015179,GO_REF:0000033,IBA,F,L-amino acid transmembrane transporter activity
WBGene00000008,aat-7,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000009,aat-8,GO:0015179,GO_REF:0000033,IBA,F,L-amino acid transmembrane transporter activity
WBGene00000009,aat-8,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000010,aat-9,GO:0015179,GO_REF:0000033,IBA,F,L-amino acid transmembrane transporter activity
WBGene00000010,aat-9,GO:0022857,GO_REF:0000002,IEA,F,transmembrane transporter activity
WBGene00000013,abf-2,GO:0003674,GO_REF:0000015,ND,F,molecular_function
WBGene00000014,abf-3,GO:0003674,GO_REF:0000015,ND,F,molecular_function
WBGene00000018,abl-1,GO:0000166,GO_REF:0000043,IEA,F,nucleotide binding
WBGene00000018,abl-1,GO:0000166,GO_REF:0000104,IEA,F,nucleotide binding
WBGene00000018,abl-1,GO:0004672,GO_REF:0000002,IEA,F,protein kinase activity
WBGene00000018,abl-1,GO:0004713,GO_REF:0000002,IEA,F,protein tyrosine kinase activity
WBGene00000018,abl-1,GO:0004713,GO_REF:0000033,IBA,F,protein tyrosine kinase activity
WBGene00000018,abl-1,GO:0004713,GO_REF:0000043,IEA,F,protein tyrosine kinase activity
WBGene00000018,abl-1,GO:0004713,GO_REF:0000116,IEA,F,protein tyrosine kinase activity
WBGene00000018,abl-1,GO:0004715,GO_REF:0000002,IEA,F,non-membrane spanning protein tyrosine kinase activity
WBGene00000018,abl-1,GO:0004715,GO_REF:0000003,IEA,F,non-membrane spanning protein tyrosine kinase activity
WBGene00000018,abl-1,GO:0004715,WB_REF:WBPaper00024301|PMID:15273685,ISS,F,non-membrane spanning protein tyrosine kinase activity
WBGene00000018,abl-1,GO:0005515,WB_REF:WBPaper00032484|PMID:19123269,IPI,F,protein binding
WBGene00000018,abl-1,GO:0005515,WB_REF:WBPaper00033098|PMID:19402756,IPI,F,protein binding
WBGene00000018,abl-1,GO:0005515,WB_REF:WBPaper00035531|PMID:19447967,IPI,F,protein binding
WBGene00000018,abl-1,GO:0005515,WB_REF:WBPaper00042260|PMID:23549480,IPI,F,protein binding
WBGene00000018,abl-1,GO:0005524,GO_REF:0000002,IEA,F,ATP binding
WBGene00000018,abl-1,GO:0005524,GO_REF:0000043,IEA,F,ATP binding
WBGene00000018,abl-1,GO:0005524,GO_REF:0000104,IEA,F,ATP binding
WBGene00000018,abl-1,GO:0016301,GO_REF:0000043,IEA,F,kinase activity
WBGene00000018,abl-1,GO:0016740,GO_REF:0000043,IEA,F,transferase activity
WBGene00000019,abt-1,GO:0005319,GO_REF:0000033,IBA,F,lipid transporter activity
WBGene00000019,abt-1,GO:0005524,GO_REF:0000002,IEA,F,ATP binding
WBGene00000019,abt-1,GO:0016887,GO_REF:0000002,IEA,F,ATP hydrolysis activity
WBGene00000019,abt-1,GO:0042626,GO_REF:0000033,IBA,F,ATPase-coupled transmembrane transporter activity
WBGene00000020,abt-2,GO:0000166,GO_REF:0000043,IEA,F,nucleotide binding
WBGene00000020,abt-2,GO:0005319,GO_REF:0000033,IBA,F,lipid transporter activity
WBGene00000020,abt-2,GO:0005524,GO_REF:0000002,IEA,F,ATP binding
