WormBase ID,Symbol,GO ID,Reference,Evidence Code,Aspect,GO_term
WBGene00000001,aap-1,GO:0008286,GO_REF:0000033,IBA,P,insulin receptor signaling pathway
WBGene00000001,aap-1,GO:0008286,WB_REF:WBPaper00005614|PMID:12393910,IGI,P,insulin receptor signaling pathway
WBGene00000001,aap-1,GO:0008286,WB_REF:WBPaper00005614|PMID:12393910,IMP,P,insulin receptor signaling pathway
WBGene00000001,aap-1,GO:0008340,WB_REF:WBPaper00005614|PMID:12393910,IMP,P,determination of adult lifespan
WBGene00000001,aap-1,GO:0040024,WB_REF:WBPaper00005614|PMID:12393910,IGI,P,dauer larval development
WBGene00000001,aap-1,GO:0040024,WB_REF:WBPaper00005614|PMID:12393910,IMP,P,dauer larval development
WBGene00000002,aat-1,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000002,aat-1,GO:0003333,WB_REF:WBPaper00006408|PMID:14668347,IDA,P,amino acid transmembrane transport
WBGene00000002,aat-1,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000002,aat-1,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000003,aat-2,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000003,aat-2,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000003,aat-2,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000004,aat-3,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000004,aat-3,GO:0003333,WB_REF:WBPaper00006408|PMID:14668347,IDA,P,amino acid transmembrane transport
WBGene00000004,aat-3,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000004,aat-3,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000005,aat-4,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000005,aat-4,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000005,aat-4,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000006,aat-5,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000006,aat-5,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000006,aat-5,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000007,aat-6,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000007,aat-6,GO:0006865,GO_REF:0000043,IEA,P,amino acid transport
WBGene00000007,aat-6,GO:0015807,WB_REF:WBPaper00055920|PMID:30560135,NAS,P,L-amino acid transport
WBGene00000007,aat-6,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000007,aat-6,GO:0080144,WB_REF:WBPaper00055920|PMID:30560135,NAS,P,intracellular amino acid homeostasis
WBGene00000007,aat-6,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000008,aat-7,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000008,aat-7,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000008,aat-7,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000009,aat-8,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000009,aat-8,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000009,aat-8,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000010,aat-9,GO:0003333,GO_REF:0000033,IBA,P,amino acid transmembrane transport
WBGene00000010,aat-9,GO:0055085,GO_REF:0000002,IEA,P,transmembrane transport
WBGene00000010,aat-9,GO:1902475,GO_REF:0000108,IEA,P,L-alpha-amino acid transmembrane transport
WBGene00000012,abf-1,GO:0098542,GO_REF:0000002,IEA,P,defense response to other organism
WBGene00000013,abf-2,GO:0031640,GO_REF:0000043,IEA,P,killing of cells of another organism
WBGene00000013,abf-2,GO:0042742,GO_REF:0000043,IEA,P,defense response to bacterium
WBGene00000013,abf-2,GO:0050829,WB_REF:WBPaper00031161|PMID:17975555,IEP,P,defense response to Gram-negative bacterium
WBGene00000013,abf-2,GO:0050830,WB_REF:WBPaper00045314|PMID:24882217,IEP,P,defense response to Gram-positive bacterium
WBGene00000013,abf-2,GO:0050832,GO_REF:0000043,IEA,P,defense response to fungus
WBGene00000013,abf-2,GO:0098542,GO_REF:0000002,IEA,P,defense response to other organism
WBGene00000014,abf-3,GO:0045087,WB_REF:WBPaper00055320|PMID:30250464,IEP,P,innate immune response
WBGene00000014,abf-3,GO:0045087,WB_REF:WBPaper00055320|PMID:30250464,IMP,P,innate immune response
