Gene_ID,Status_and_Symbol,Has_GO_Term?,GO_Term_Count,GO_IDs
WBGene00000052,Dead | N/A,No,0,
WBGene00000087,Dead | N/A,No,0,
WBGene00000167,Dead | N/A,No,0,
WBGene00000194,Dead | N/A,No,0,
WBGene00000243,Dead | N/A,No,0,
WBGene00000300,Dead | ,No,0,
WBGene00000309,Dead | N/A,No,0,
WBGene00000385,Dead | N/A,No,0,
WBGene00000394,Dead | N/A,No,0,
WBGene00000398,Dead | N/A,No,0,
WBGene00000400,Dead | N/A,No,0,
WBGene00000404,Dead | N/A,No,0,
WBGene00000456,Dead | N/A,No,0,
WBGene00000486,Dead | N/A,No,0,
WBGene00000489,Dead | N/A,No,0,
WBGene00000586,Dead | N/A,No,0,
WBGene00000587,Dead | N/A,No,0,
WBGene00000588,Dead | N/A,No,0,
WBGene00000589,Dead | N/A,No,0,
WBGene00000590,Dead | N/A,No,0,
WBGene00000619,Dead | N/A,No,0,
WBGene00000635,Dead | N/A,No,0,
WBGene00000643,Dead | N/A,No,0,
WBGene00000686,Dead | N/A,No,0,
WBGene00000847,Dead | N/A,No,0,
WBGene00000852,Dead | N/A,No,0,
WBGene00000916,Dead | N/A,No,0,
WBGene00000945,Dead | ,No,0,
WBGene00001004,Dead | N/A,No,0,
WBGene00001024,Dead | N/A,No,0,
WBGene00001083,Dead | N/A,No,0,
WBGene00001120,Dead | N/A,No,0,
WBGene00001124,Dead | N/A,No,0,
WBGene00001138,Dead | N/A,No,0,
WBGene00001146,Dead | N/A,No,0,
WBGene00001192,Dead | N/A,No,0,
WBGene00001219,Dead | N/A,No,0,
WBGene00001254,Dead | N/A,No,0,
WBGene00001255,Dead | N/A,No,0,
WBGene00001260,Dead | N/A,No,0,
WBGene00001264,Dead | N/A,No,0,
WBGene00001268,Dead | N/A,No,0,
WBGene00001270,Dead | N/A,No,0,
WBGene00001283,Dead | N/A,No,0,
WBGene00001321,Dead | N/A,No,0,
WBGene00001339,Dead | N/A,No,0,
WBGene00001356,Dead | N/A,No,0,
WBGene00001363,Dead | ,No,0,
WBGene00001367,Dead | N/A,No,0,
WBGene00001370,Dead | N/A,No,0,
WBGene00001416,Dead | N/A,No,0,
WBGene00001421,Dead | N/A,No,0,
WBGene00001422,Dead | ,No,0,
